1482, 633.23
1483, 561.36
1484, 983.71
1485, 476.48
1486, 954.91
1487, 168.00
1488, 539.62
1489, 426.83
1490, 175.10
1491, 541.25
1492, 93.80
1493, 512.83
1494, 936.68
1495, 694.95
1496, 688.67
1497, 1264.19
1498, 408.24
1499, 154.10
1500, 1468.03
1501, 1318.47
1502, 1465.51
1503, 682.93
1504, 922.72
1505, 1063.76
1506, 1157.48
1507, 582.08
1508, 723.16
1509, 641.92
1510, 852.07
1511, 263.49
1512, 125.56
1513, 566.29
1514, 131.09
1515, 297.54
1516, 723.40
1517, 1962.65
1518, 2404.05
1519, 1299.62
1520, 865.62
1521, 819.02
1522, 1661.79
1523, 1373.70
1524, 771.57
1525, 695.40
1526, 756.44
1527, 687.64
1528, 1243.47
1529, 490.23
1530, 933.23
1531, 902.23
1532, 730.46
1533, 282.73
1534, 1196.67
1535, 986.43
1536, 1015.27
1537, 1634.71
1538, 796.97
1539, 950.02
1540, 895.03
1541, 758.09
1542, 652.34
1543, 810.70
1544, 506.56
1545, 859.97
1546, 654.47
1547, 1294.91
1548, 1307.97
1549, 746.65
1550, 532.31
1551, 878.65
1552, 861.68
1553, 715.48
1554, 687.49
1555, 121.44
1556, 437.55
1557, 836.30
1558, 422.56
1559, 944.03
1560, 128.42
1561, 823.45
1562, 768.70
1563, 1620.10
1564, 1496.84
1565, 716.13
1566, 735.55
1567, 862.93
1568, 224.06
1569, 1138.52
1570, 1348.39
1571, 1271.78
1572, 315.37
1573, 1180.29
1574, 808.85
1575, 645.96
1576, 592.69
1577, 413.70
1578, 789.28
1579, 943.87
1580, 1171.11
1581, 816.07
1582, 756.33
1583, 1148.66
1584, 1210.25
1585, 596.59
1586, 1178.91
1587, 1194.61
1588, 442.75
1589, 891.76
1590, 516.14
1591, 578.11
1592, 937.69
1593, 588.35
1594, 442.54
1595, 921.65
1596, 390.63
1597, 513.54
1598, 437.98
1599, 738.15
1600, 910.24
1601, 1143.04
1602, 733.93
1603, 533.00
1604, 585.01
1605, 1346.40
1606, 1305.37
1607, 651.79
1608, 1249.51
1609, 1192.22
1610, 536.18
1611, 545.24
1612, 147.19
1613, 398.67
1614, 278.53
